smiles,A_baumanii_fold_0,E_coli_fold_0,K_pneumoniae_fold_0,P_aeruginosa_fold_0,A_baumanii_fold_1,E_coli_fold_1,K_pneumoniae_fold_1,P_aeruginosa_fold_1,A_baumanii_fold_2,E_coli_fold_2,K_pneumoniae_fold_2,P_aeruginosa_fold_2,A_baumanii_fold_3,E_coli_fold_3,K_pneumoniae_fold_3,P_aeruginosa_fold_3,A_baumanii_fold_4,E_coli_fold_4,K_pneumoniae_fold_4,P_aeruginosa_fold_4,A_baumanii_fold_5,E_coli_fold_5,K_pneumoniae_fold_5,P_aeruginosa_fold_5,A_baumanii_fold_6,E_coli_fold_6,K_pneumoniae_fold_6,P_aeruginosa_fold_6,A_baumanii_fold_7,E_coli_fold_7,K_pneumoniae_fold_7,P_aeruginosa_fold_7,A_baumanii_fold_8,E_coli_fold_8,K_pneumoniae_fold_8,P_aeruginosa_fold_8,N_gonorrhoeae_fold_0,N_gonorrhoeae_fold_1,N_gonorrhoeae_fold_2,N_gonorrhoeae_fold_3,N_gonorrhoeae_fold_4,N_gonorrhoeae_fold_5,N_gonorrhoeae_fold_6,N_gonorrhoeae_fold_7,N_gonorrhoeae_fold_8,A_baumanii_avg,E_coli_avg,K_pneumoniae_avg,P_aeruginosa_avg,N_gonorrhoeae_avg,druglikeness,novelty,cluster_id,known_antibiotics_novelty,hts_hit_novelty,closest_antibiotic,closest_hts_hit,filter_status,filter_reason,scaffold_antibiotics_novelty,scaffold_hts_hit_novelty,closest_antibiotic_scaffold,closest_hts_hit_scaffold
Cn1c(=O)c(C(=O)CCl)c(N)n(Cc2ccccc2)c1=O,0.0053,0.0046,0.0033,0.001,0.465,0.1001,0.0439,0.017,0.1173,0.0124,0.0072,0.0064,0.5455,0.114,0.0465,0.0418,0.2897,0.0199,0.0144,0.0158,0.328,0.0461,0.0321,0.0262,0.3295,0.0423,0.0275,0.0277,0.1076,0.0218,0.0117,0.0091,0.0,0.0,0.0,0.0,0.0426,0.1214,0.0013,0.0001,0.0023,0.2533,0.0205,0.214,0.1249,0.2431,0.0401,0.0207,0.0161,0.0867,0.7524,0.772727,1185,0.772727,0.595745,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,Cn1sc(=O)n(Cc2ccccc2)c1=O,FILTERED,motif:quinolone,0.700000,0.578947,Cc1cc(O)cc(C)c1Cl,Cn1cc(-c2[nH]c3cc(NC(=O)[C@H](N)C4CCCCC4)cc4c3c2C=NNC4=O)cn1
Cc1c(C#N)c(NC(=O)CCl)n(Cc2ccccc2)c1C,0.0037,0.0031,0.0023,0.0007,0.4492,0.0711,0.0325,0.0177,0.132,0.0149,0.0086,0.0072,0.5088,0.0578,0.0266,0.0419,0.2613,0.0165,0.0125,0.0151,0.4081,0.0813,0.0528,0.0316,0.2983,0.034,0.0232,0.0261,0.0954,0.0185,0.0102,0.0084,0.0,0.0,0.0,0.0,0.0676,0.1949,0.0731,0.0051,0.0011,0.3195,0.1469,0.3739,0.1586,0.2396,0.033,0.0187,0.0165,0.149,0.7394,0.753425,1184,0.760870,0.692308,c1ccc(CNCCNCc2ccccc2)cc1,Cn1sc(=O)n(Cc2ccccc2)c1=O,KEPT,,0.571429,0.571429,Cc1cc(O)cc(C)c1Cl,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
O=C(CCl)N(Cc1ccccc1)c1nc2c(s1)CCCC2,0.0024,0.0019,0.0014,0.0004,0.304,0.0194,0.0114,0.015,0.0733,0.0059,0.0038,0.0048,0.4576,0.0356,0.0178,0.0363,0.2516,0.0146,0.011,0.0135,0.3067,0.0377,0.0268,0.0246,0.2078,0.0165,0.0129,0.02,0.108,0.0216,0.0115,0.0089,0.0,0.0,0.0,0.0,0.0845,0.1752,0.0059,0.0046,0.0032,0.409,0.0819,0.4273,0.2027,0.1902,0.017,0.0108,0.0137,0.1549,0.6827,0.802817,1183,0.795918,0.757576,c1ccc(CNCCNCc2ccccc2)cc1,CCc1ccc(Nc2c3c(nc4ccccc24)CCC3)cc1,KEPT,,0.684211,0.725490,N[C@@H]1CONC1=O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Clc1ccc(CNC2CCN(Cc3ccccc3)CC2)c(Cl)c1,0.0034,0.0029,0.0021,0.0006,0.3235,0.0177,0.0103,0.0168,0.0416,0.0026,0.0019,0.0035,0.479,0.0326,0.0163,0.0381,0.1417,0.0056,0.0051,0.0094,0.0997,0.0045,0.0043,0.0118,0.1956,0.0144,0.0116,0.0191,0.0635,0.0112,0.0067,0.0067,0.9572,0.004,0.0,0.0,0.3803,0.4893,0.7465,0.9831,0.9922,0.604,0.3871,0.552,0.4109,0.2561,0.0106,0.0065,0.0118,0.6161,0.8145,0.753846,1182,0.727273,0.641791,c1ccc(CNCCNCc2ccccc2)cc1,Brc1ccc2nc(N3CCCN(Cc4ccccc4)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2c1,KEPT,,0.647059,0.566038,N[C@@H]1CONC1=O,Brc1ccc2nc(N3CCCN(Cc4ccccc4)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2c1
COc1ccc(NC(=O)CCl)cc1NC(=O)OC(C)(C)C,0.0019,0.0015,0.0011,0.0003,0.3107,0.0235,0.0136,0.0156,0.0623,0.0047,0.0032,0.0044,0.556,0.1299,0.052,0.0429,0.1155,0.0043,0.0041,0.0087,0.3118,0.0388,0.0277,0.0257,0.2883,0.0311,0.0217,0.0256,0.075,0.0137,0.008,0.0074,0.0,0.0541,0.008,0.0,0.0759,0.1571,0.0362,0.0025,0.0005,0.617,0.1084,0.286,0.1634,0.1913,0.0335,0.0155,0.0145,0.1608,0.6736,0.785714,1181,0.785714,0.800000,C=CCc1ccc(O)c(OC)c1,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,KEPT,,0.000000,0.000000,CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,CC(=O)[O-].[Hg+][c]1ccccc1
O=C(O)c1cn(Cc2ccccc2)c2ccccc2c1=O,0.4564,0.5563,0.4872,0.3145,0.513,0.1617,0.1321,0.2863,0.5049,0.3339,0.2558,0.174,0.6591,0.2462,0.1858,0.4457,0.1454,0.0164,0.0214,0.0596,0.5929,0.4177,0.3921,0.3685,0.5806,0.5273,0.5428,0.6133,0.5126,0.3547,0.2084,0.1004,0.8901,0.1374,0.0384,0.4489,0.7498,0.506,0.8159,0.4581,0.9397,0.8553,0.905,0.507,0.5055,0.5394,0.3057,0.2515,0.3124,0.6936,0.8556,0.576923,1180,0.576923,0.661017,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,FILTERED,motif:quinolone,0.673469,0.567568,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O
c1ccc(CNc2nc(NCc3ccccc3)c3ccccc3n2)cc1,0.0277,0.0297,0.0213,0.0072,0.3895,0.0272,0.0148,0.0215,0.0386,0.0024,0.0018,0.0034,0.4936,0.035,0.0174,0.0417,0.0698,0.0021,0.0023,0.0067,0.1277,0.0067,0.006,0.0143,0.134,0.008,0.0074,0.016,0.0798,0.0148,0.0085,0.0077,0.9948,0.0039,0.0116,0.0011,0.6807,0.6908,0.9209,0.6276,0.6021,0.8366,0.779,0.7397,0.5093,0.2617,0.0144,0.0101,0.0133,0.7096,0.7264,0.647059,1179,0.636364,0.687500,c1ccc(CNCCNCc2ccccc2)cc1,c1ccc(CCNc2ccnc3cc4ccccc4cc23)cc1,FILTERED,motif:monoaminopyrimidine,0.636364,0.673077,N[C@@H]1CONC1=O,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO
C[N+](C)(CC[N+](C)(C)Cc1ccccc1)Cc1ccccc1,0.007,0.0061,0.0045,0.0015,0.2595,0.012,0.0079,0.0161,0.0395,0.0024,0.0018,0.0034,0.4135,0.0221,0.0123,0.0345,0.2237,0.0116,0.0091,0.0126,0.0869,0.0036,0.0035,0.011,0.2699,0.0256,0.0188,0.0253,0.0794,0.0145,0.0083,0.0074,0.3172,0.0008,0.0002,0.0001,0.3336,0.2048,0.0765,0.8097,0.1524,0.0788,0.261,0.3801,0.2683,0.1885,0.011,0.0074,0.0124,0.285,0.844,0.333333,1178,0.333333,0.333333,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,KEPT,,0.466667,0.466667,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)CCCC(O)CC(O)CC(=O)CC(=O)OC1C(C)CCC(O)CC(=O)c1ccc(N)cc1)CC(O)C2C(=O)O,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
CCCCn1c(CCl)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1,0.0032,0.0026,0.0019,0.0006,0.4034,0.0435,0.0216,0.0173,0.0704,0.0056,0.0037,0.0047,0.4395,0.033,0.0167,0.0333,0.2139,0.0113,0.009,0.0128,0.3446,0.0512,0.0351,0.027,0.2875,0.0304,0.021,0.0248,0.1385,0.0302,0.0153,0.0104,0.0,0.0,0.0,0.0,0.022,0.079,0.0058,0.1351,0.0034,0.0702,0.03,0.271,0.0923,0.2112,0.0231,0.0138,0.0145,0.0788,0.6493,0.745455,1177,0.745455,0.660377,CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,Cn1sc(=O)n(Cc2ccccc2)c1=O,FILTERED,motif:quinolone,0.717391,0.511111,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)[O-])c4)C3)[C@H](C)[C@H]12,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
CC(NCCCc1ccccc1)C1CCN(Cc2ccccc2)C1,0.003,0.0024,0.0018,0.0006,0.2906,0.0142,0.0088,0.0163,0.0316,0.0018,0.0014,0.0031,0.3641,0.0157,0.0094,0.0292,0.1691,0.0073,0.0062,0.0105,0.1043,0.0048,0.0045,0.0122,0.1504,0.0093,0.0082,0.0166,0.053,0.009,0.0056,0.0061,0.4921,0.0006,0.0,0.0,0.1255,0.1781,0.0851,0.8606,0.4022,0.3517,0.4243,0.3642,0.2636,0.1842,0.0072,0.0051,0.0105,0.3395,0.7125,0.760000,1176,0.723404,0.687500,c1ccc(CCNCc2ccccc2)cc1,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl,KEPT,,0.674419,0.612245,Cc1cc(O)ccc1Cl,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl
Cc1cc(SCC(=O)O)n2c(nc3ccccc32)c1C#N,0.003,0.0024,0.0018,0.0005,0.4514,0.0652,0.0311,0.0213,0.0848,0.0076,0.0048,0.0056,0.5807,0.0789,0.0347,0.0562,0.144,0.0063,0.0058,0.0109,0.1892,0.0146,0.0121,0.0192,0.1392,0.0092,0.0084,0.0173,0.103,0.0208,0.0113,0.009,0.0,0.0,0.0,0.0,0.05,0.1686,0.0101,0.129,0.3979,0.1598,0.5101,0.5443,0.2946,0.1884,0.0228,0.0122,0.0156,0.2516,0.7896,0.794118,1175,0.794118,0.737705,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,KEPT,,0.689655,0.689655,O=C([C@@H](O)CO)N1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1
COc1ccc2c(c1)C1(NNc3ccccc3O1)C(=O)N2,0.0025,0.002,0.0015,0.0004,0.4696,0.234,0.0974,0.0132,0.0673,0.0053,0.0035,0.0046,0.5776,0.1098,0.0437,0.0443,0.3778,0.0345,0.0221,0.0183,0.1211,0.0065,0.0059,0.0136,0.2567,0.0244,0.0175,0.0224,0.0601,0.0106,0.0065,0.0067,0.001,0.0063,0.0008,0.0,0.3722,0.3856,0.0446,0.0064,0.3191,0.1186,0.6928,0.4392,0.2939,0.2149,0.0482,0.0221,0.0137,0.2969,0.6265,0.797297,1174,0.797297,0.806818,COc1ccc(C(OCCn2c([N+](=O)[O-])cnc2C)c2ccccc2)cc1,COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(Cc1ccc(Cl)cc1)CC31CCN(CCc2ccccc2)CC1,KEPT,,0.725000,0.674419,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
Cc1cc(C(=O)CCl)c(C)n1-c1ccc(C(F)(F)F)cc1,0.0071,0.0063,0.0046,0.0015,0.4066,0.0423,0.0217,0.0203,0.2053,0.032,0.0163,0.0095,0.5817,0.1054,0.0438,0.0518,0.2266,0.0133,0.0108,0.0151,0.3404,0.0491,0.0343,0.028,0.2388,0.0224,0.0168,0.0232,0.1098,0.022,0.0117,0.0089,0.0,0.0,0.0001,0.0,0.3036,0.3803,0.0398,0.0133,0.2992,0.4757,0.1531,0.3906,0.3044,0.2351,0.0325,0.0178,0.0176,0.2622,0.7781,0.800000,1173,0.800000,0.771084,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=S)Nc4cc(C(F)(F)F)ccc4Cl)CC3)cc21,FILTERED,pains:pyrrole_A(118),0.714286,0.714286,Cc1cc(O)cc(C)c1Cl,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
CC(C)CCCCCCn1c(S)nc2ccccc2c1=O,0.0088,0.0082,0.0059,0.0019,0.4254,0.038,0.0197,0.0237,0.0511,0.0035,0.0024,0.004,0.5451,0.0498,0.0235,0.0508,0.1933,0.0097,0.0082,0.013,0.2146,0.0168,0.0134,0.0197,0.1503,0.0097,0.0086,0.0174,0.103,0.0202,0.0109,0.0086,0.0053,0.0008,0.0005,0.0014,0.0569,0.141,0.0245,0.0056,0.0207,0.1187,0.0949,0.2391,0.0788,0.1885,0.0174,0.0103,0.0156,0.0867,0.7007,0.689655,1172,0.689655,0.712500,CC(C)Cn1cnc2c(N)nc3ccccc3c21,Cc1ccc(C(=O)N(CCCN)[C@@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1,FILTERED,motif:quinolone,0.451613,0.666667,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)[O-])c4)C3)[C@H](C)[C@H]12,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
O=C(O)c1ccccc1C(=O)c1ccc(Cl)c([N+](=O)[O-])c1,0.0057,0.0049,0.0036,0.0011,0.2525,0.0157,0.0103,0.0159,0.1094,0.0111,0.0066,0.0061,0.5873,0.0819,0.0357,0.0576,0.1056,0.0038,0.0037,0.0082,0.1573,0.0104,0.0089,0.0162,0.2591,0.0264,0.0189,0.0237,0.1438,0.0321,0.0161,0.0107,0.0001,0.0001,0.0001,0.0,0.1567,0.3589,0.7377,0.9857,0.9518,0.6823,0.8217,0.6586,0.332,0.1801,0.0207,0.0115,0.0155,0.6317,0.7905,0.673469,1171,0.673469,0.650000,O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,O=C(Nc1cc(Cl)ccc1Cl)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,KEPT,,0.666667,0.521739,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O,O=C(NO)c1cn(-c2cccc(C(=O)N3CCC4(CC3)C(=O)NCN4c3ccccc3)c2)nn1
O=C(CCl)N1N=C(c2ccc(Cl)cc2)CC1c1ccco1,0.0018,0.0014,0.001,0.0003,0.1777,0.0093,0.0069,0.0115,0.1086,0.0111,0.0065,0.0061,0.4699,0.0498,0.0234,0.0353,0.1428,0.0059,0.0053,0.0096,0.3601,0.0608,0.0408,0.028,0.3132,0.0387,0.0254,0.0259,0.098,0.0193,0.0105,0.0085,0.0,0.0,0.0,0.0,0.0142,0.1688,0.0135,0.0004,0.0022,0.2585,0.1242,0.2385,0.1654,0.1858,0.0218,0.0133,0.0139,0.1095,0.8101,0.825397,1170,0.825397,0.797872,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,O=C(N[C@@H](c1cccnc1)c1ccc2c(c1)OCO2)C1CCN(CCOc2ccc(Cl)cc2Cl)CC1,KEPT,,0.764706,0.777778,Nc1c2ccccc2nc2ccccc12,Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1
O=C(CCl)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,0.0054,0.0046,0.0034,0.0011,0.1955,0.0112,0.008,0.0124,0.1018,0.01,0.006,0.0058,0.5073,0.0867,0.0371,0.0376,0.4066,0.043,0.0268,0.0201,0.3114,0.0419,0.0295,0.0252,0.3467,0.0499,0.0315,0.0287,0.0888,0.017,0.0095,0.008,0.0,0.0001,0.0,0.0,0.0219,0.1651,0.0169,0.0015,0.0037,0.271,0.0437,0.2055,0.2465,0.2182,0.0294,0.0169,0.0154,0.1084,0.8183,0.777778,1169,0.777778,0.703704,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C(=S)Nc4cc(C(F)(F)F)ccc4Cl)CC3)cc21,KEPT,,0.627907,0.627907,N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21.Cl
O=Cc1cc([N+](=O)[O-])ccc1Sc1nc2ccccc2s1,0.0089,0.0081,0.0059,0.0019,0.5027,0.1269,0.0581,0.0259,0.1298,0.0145,0.0083,0.0068,0.6994,0.2067,0.0879,0.1108,0.1266,0.0053,0.005,0.0102,0.1882,0.0144,0.0119,0.0188,0.2875,0.0334,0.0232,0.0268,0.1261,0.0268,0.0139,0.0099,0.0268,0.1426,0.0543,0.0063,0.1505,0.3769,0.7459,0.4692,0.982,0.6923,0.851,0.6236,0.2503,0.2329,0.0643,0.0298,0.0242,0.5713,0.7675,0.730769,1168,0.730769,0.820896,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,KEPT,,0.718750,0.592593,O=C([C@@H](O)CO)N1CC=C(c2c(F)cc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
Cc1csc(N(C(=O)CCl)c2cccc(C(F)(F)F)c2)n1,0.0046,0.0039,0.0028,0.0009,0.3103,0.0239,0.0137,0.0148,0.0636,0.0049,0.0033,0.0045,0.5583,0.1167,0.047,0.0429,0.1731,0.008,0.0067,0.0108,0.3157,0.0425,0.0297,0.0249,0.1825,0.0139,0.0113,0.0186,0.075,0.0138,0.008,0.0074,0.0,0.0,0.0,0.0,0.175,0.2724,0.0145,0.0005,0.0038,0.3934,0.1473,0.4416,0.3265,0.187,0.0253,0.0136,0.0139,0.1972,0.7881,0.808824,1167,0.808824,0.746479,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl,KEPT,,0.441176,0.727273,C[C@@H]([C@H](N)C(=O)N[C@H](C(=O)O)[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)[C@H](O)c1ccc(O)cn1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Cc1cc(=O)c(C(=O)O)nn1-c1ccccc1C(F)(F)F,0.0332,0.0348,0.0254,0.0092,0.4572,0.0935,0.0459,0.0259,0.1305,0.0153,0.009,0.008,0.5752,0.0973,0.0424,0.0569,0.044,0.0013,0.0016,0.006,0.1581,0.0112,0.01,0.0204,0.1365,0.0101,0.0097,0.021,0.1906,0.0489,0.0236,0.014,0.0005,0.0206,0.0163,0.0052,0.0722,0.4455,0.2397,0.1316,0.2296,0.2918,0.3904,0.5664,0.2547,0.1917,0.037,0.0204,0.0185,0.2913,0.8157,0.741935,1166,0.741935,0.741935,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,FILTERED,motif:quinolone,0.720930,0.658537,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O
O=C(O)CSc1ccc(S(=O)(=O)C(F)(F)F)cc1[N+](=O)[O-],0.0079,0.0071,0.0051,0.0017,0.3479,0.0343,0.0198,0.0221,0.1156,0.0123,0.0072,0.0065,0.5946,0.0948,0.0415,0.0628,0.1518,0.0067,0.006,0.0107,0.286,0.0357,0.0263,0.0256,0.2904,0.036,0.0252,0.0288,0.1334,0.0291,0.0148,0.0104,0.0,0.0052,0.0027,0.0001,0.0381,0.2982,0.368,0.5103,0.6339,0.3244,0.5658,0.6296,0.425,0.2142,0.029,0.0165,0.0187,0.4215,0.7975,0.734694,1165,0.734694,0.731343,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,O=C(Nc1cc(Cl)ccc1Cl)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,FILTERED,motif:sulfone_general,0.000000,0.000000,CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,CC(=O)[O-].[Hg+][c]1ccccc1
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)C(Cl)c1ccccc1,0.0093,0.0085,0.0062,0.002,0.2334,0.0146,0.0099,0.0152,0.1449,0.0177,0.0098,0.0074,0.6148,0.1251,0.0516,0.0618,0.2413,0.0153,0.012,0.0158,0.3523,0.056,0.0387,0.0294,0.4126,0.0804,0.0482,0.0371,0.1509,0.0341,0.0169,0.011,0.0,0.0307,0.1109,0.0356,0.0751,0.2602,0.7016,0.8016,0.905,0.5246,0.4129,0.51,0.2537,0.24,0.0425,0.0338,0.0239,0.4939,0.7942,0.636364,1164,0.636364,0.636364,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,FILTERED,motif:aminoglycoside_h1,0.613636,0.517241,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,O=C(NO)c1cn(-c2cccc(C(=O)N3CCC4(CC3)C(=O)NCN4c3ccccc3)c2)nn1
CCCn1c(N)c(N(CCOC)C(=O)CCl)c(=O)[nH]c1=O,0.0082,0.0074,0.0054,0.0017,0.3752,0.0386,0.0198,0.0163,0.2116,0.0341,0.0172,0.0097,0.5881,0.2057,0.0805,0.0497,0.2889,0.0193,0.0139,0.0152,0.3946,0.0745,0.049,0.0309,0.4081,0.0717,0.0427,0.0336,0.2204,0.0597,0.0278,0.015,0.0,0.0,0.0,0.0,0.1155,0.0903,0.0082,0.0774,0.0006,0.1194,0.1448,0.5128,0.1709,0.2772,0.0568,0.0285,0.0191,0.1378,0.8011,0.829787,1163,0.790323,0.783333,CCN(CC)CCOC(=O)c1ccc(N)cc1,CC(=O)On1cc(F)c(=O)[nH]c1=O,FILTERED,motif:quinolone,0.689655,0.000000,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CC(=O)On1cc(F)c(=O)[nH]c1=O
O=C(CCl)N=c1sccn1Cc1cccc2ccccc12,0.0032,0.0027,0.0019,0.0006,0.4694,0.0905,0.0395,0.017,0.1016,0.0098,0.0059,0.0058,0.5231,0.069,0.0303,0.0413,0.383,0.0363,0.0233,0.019,0.2963,0.0355,0.0254,0.0238,0.3729,0.056,0.0342,0.0295,0.1076,0.0216,0.0115,0.0089,0.0001,0.0006,0.0,0.0,0.0814,0.2933,0.0033,0.0263,0.0022,0.6603,0.1724,0.4972,0.3333,0.2508,0.0358,0.0191,0.0162,0.23,0.7418,0.784810,1162,0.784810,0.810345,CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,Cn1sc(=O)n(Cc2ccccc2)c1=O,KEPT,,0.716981,0.659574,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12.Cl
