smiles,A_baumanii_fold_0,E_coli_fold_0,K_pneumoniae_fold_0,P_aeruginosa_fold_0,A_baumanii_fold_1,E_coli_fold_1,K_pneumoniae_fold_1,P_aeruginosa_fold_1,A_baumanii_fold_2,E_coli_fold_2,K_pneumoniae_fold_2,P_aeruginosa_fold_2,A_baumanii_fold_3,E_coli_fold_3,K_pneumoniae_fold_3,P_aeruginosa_fold_3,A_baumanii_fold_4,E_coli_fold_4,K_pneumoniae_fold_4,P_aeruginosa_fold_4,A_baumanii_fold_5,E_coli_fold_5,K_pneumoniae_fold_5,P_aeruginosa_fold_5,A_baumanii_fold_6,E_coli_fold_6,K_pneumoniae_fold_6,P_aeruginosa_fold_6,A_baumanii_fold_7,E_coli_fold_7,K_pneumoniae_fold_7,P_aeruginosa_fold_7,A_baumanii_fold_8,E_coli_fold_8,K_pneumoniae_fold_8,P_aeruginosa_fold_8,N_gonorrhoeae_fold_0,N_gonorrhoeae_fold_1,N_gonorrhoeae_fold_2,N_gonorrhoeae_fold_3,N_gonorrhoeae_fold_4,N_gonorrhoeae_fold_5,N_gonorrhoeae_fold_6,N_gonorrhoeae_fold_7,N_gonorrhoeae_fold_8,A_baumanii_avg,E_coli_avg,K_pneumoniae_avg,P_aeruginosa_avg,N_gonorrhoeae_avg,druglikeness,novelty,cluster_id
Cc1c(C#N)c(NC(=O)CCl)n(Cc2ccccc2)c1C,0.0037,0.0031,0.0023,0.0007,0.4492,0.0711,0.0325,0.0177,0.132,0.0149,0.0086,0.0072,0.5088,0.0578,0.0266,0.0419,0.2613,0.0165,0.0125,0.0151,0.4081,0.0813,0.0528,0.0316,0.2983,0.034,0.0232,0.0261,0.0954,0.0185,0.0102,0.0084,0.0,0.0,0.0,0.0,0.0676,0.1949,0.0731,0.0051,0.0011,0.3195,0.1469,0.3739,0.1586,0.2396,0.033,0.0187,0.0165,0.149,0.7394,0.761194,1379
COc1ccc(NC(=O)CCl)cc1NC(=O)OC(C)(C)C,0.0019,0.0015,0.0011,0.0003,0.3107,0.0235,0.0136,0.0156,0.0623,0.0047,0.0032,0.0044,0.556,0.1299,0.052,0.0429,0.1155,0.0043,0.0041,0.0087,0.3118,0.0388,0.0277,0.0257,0.2883,0.0311,0.0217,0.0256,0.075,0.0137,0.008,0.0074,0.0,0.0541,0.008,0.0,0.0759,0.1571,0.0362,0.0025,0.0005,0.617,0.1084,0.286,0.1634,0.1913,0.0335,0.0155,0.0145,0.1608,0.6736,0.785714,1378
CC(C)(C)OC(=O)NC1(C(F)(F)F)Oc2ccc(Cl)cc2O1,0.0025,0.0021,0.0015,0.0005,0.4465,0.1487,0.0643,0.0143,0.0627,0.0048,0.0032,0.0045,0.5444,0.1257,0.05,0.039,0.15,0.0064,0.0057,0.0101,0.1482,0.0092,0.0079,0.0154,0.0985,0.0054,0.0054,0.0133,0.0714,0.0131,0.0077,0.0072,0.0,0.0034,0.0002,0.0,0.0596,0.2959,0.0578,0.9757,0.893,0.0824,0.2063,0.2875,0.1285,0.1694,0.0354,0.0162,0.0116,0.3319,0.7021,0.789474,1376
Cc1cc(SCC(=O)O)n2c(nc3ccccc32)c1C#N,0.003,0.0024,0.0018,0.0005,0.4514,0.0652,0.0311,0.0213,0.0848,0.0076,0.0048,0.0056,0.5807,0.0789,0.0347,0.0562,0.144,0.0063,0.0058,0.0109,0.1892,0.0146,0.0121,0.0192,0.1392,0.0092,0.0084,0.0173,0.103,0.0208,0.0113,0.009,0.0,0.0,0.0,0.0,0.05,0.1686,0.0101,0.129,0.3979,0.1598,0.5101,0.5443,0.2946,0.1884,0.0228,0.0122,0.0156,0.2516,0.7896,0.794118,1373
COc1ccc2c(c1)C1(NNc3ccccc3O1)C(=O)N2,0.0025,0.002,0.0015,0.0004,0.4696,0.234,0.0974,0.0132,0.0673,0.0053,0.0035,0.0046,0.5776,0.1098,0.0437,0.0443,0.3778,0.0345,0.0221,0.0183,0.1211,0.0065,0.0059,0.0136,0.2567,0.0244,0.0175,0.0224,0.0601,0.0106,0.0065,0.0067,0.001,0.0063,0.0008,0.0,0.3722,0.3856,0.0446,0.0064,0.3191,0.1186,0.6928,0.4392,0.2939,0.2149,0.0482,0.0221,0.0137,0.2969,0.6265,0.797297,1372
O=C(CCl)N1N=C(c2ccc(Cl)cc2)CC1c1ccco1,0.0018,0.0014,0.001,0.0003,0.1777,0.0093,0.0069,0.0115,0.1086,0.0111,0.0065,0.0061,0.4699,0.0498,0.0234,0.0353,0.1428,0.0059,0.0053,0.0096,0.3601,0.0608,0.0408,0.028,0.3132,0.0387,0.0254,0.0259,0.098,0.0193,0.0105,0.0085,0.0,0.0,0.0,0.0,0.0142,0.1688,0.0135,0.0004,0.0022,0.2585,0.1242,0.2385,0.1654,0.1858,0.0218,0.0133,0.0139,0.1095,0.8101,0.824176,1369
O=C(CCl)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,0.0054,0.0046,0.0034,0.0011,0.1955,0.0112,0.008,0.0124,0.1018,0.01,0.006,0.0058,0.5073,0.0867,0.0371,0.0376,0.4066,0.043,0.0268,0.0201,0.3114,0.0419,0.0295,0.0252,0.3467,0.0499,0.0315,0.0287,0.0888,0.017,0.0095,0.008,0.0,0.0001,0.0,0.0,0.0219,0.1651,0.0169,0.0015,0.0037,0.271,0.0437,0.2055,0.2465,0.2182,0.0294,0.0169,0.0154,0.1084,0.8183,0.777778,1368
O=Cc1cc([N+](=O)[O-])ccc1Sc1nc2ccccc2s1,0.0089,0.0081,0.0059,0.0019,0.5027,0.1269,0.0581,0.0259,0.1298,0.0145,0.0083,0.0068,0.6994,0.2067,0.0879,0.1108,0.1266,0.0053,0.005,0.0102,0.1882,0.0144,0.0119,0.0188,0.2875,0.0334,0.0232,0.0268,0.1261,0.0268,0.0139,0.0099,0.0268,0.1426,0.0543,0.0063,0.1505,0.3769,0.7459,0.4692,0.982,0.6923,0.851,0.6236,0.2503,0.2329,0.0643,0.0298,0.0242,0.5713,0.7675,0.730769,1367
Cc1csc(N(C(=O)CCl)c2cccc(C(F)(F)F)c2)n1,0.0046,0.0039,0.0028,0.0009,0.3103,0.0239,0.0137,0.0148,0.0636,0.0049,0.0033,0.0045,0.5583,0.1167,0.047,0.0429,0.1731,0.008,0.0067,0.0108,0.3157,0.0425,0.0297,0.0249,0.1825,0.0139,0.0113,0.0186,0.075,0.0138,0.008,0.0074,0.0,0.0,0.0,0.0,0.175,0.2724,0.0145,0.0005,0.0038,0.3934,0.1473,0.4416,0.3265,0.187,0.0253,0.0136,0.0139,0.1972,0.7881,0.808824,1366
O=C(O)CSc1ccc(S(=O)(=O)C(F)(F)F)cc1[N+](=O)[O-],0.0079,0.0071,0.0051,0.0017,0.3479,0.0343,0.0198,0.0221,0.1156,0.0123,0.0072,0.0065,0.5946,0.0948,0.0415,0.0628,0.1518,0.0067,0.006,0.0107,0.286,0.0357,0.0263,0.0256,0.2904,0.036,0.0252,0.0288,0.1334,0.0291,0.0148,0.0104,0.0,0.0052,0.0027,0.0001,0.0381,0.2982,0.368,0.5103,0.6339,0.3244,0.5658,0.6296,0.425,0.2142,0.029,0.0165,0.0187,0.4215,0.7975,0.734694,1365
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)C(Cl)c1ccccc1,0.0093,0.0085,0.0062,0.002,0.2334,0.0146,0.0099,0.0152,0.1449,0.0177,0.0098,0.0074,0.6148,0.1251,0.0516,0.0618,0.2413,0.0153,0.012,0.0158,0.3523,0.056,0.0387,0.0294,0.4126,0.0804,0.0482,0.0371,0.1509,0.0341,0.0169,0.011,0.0,0.0307,0.1109,0.0356,0.0751,0.2602,0.7016,0.8016,0.905,0.5246,0.4129,0.51,0.2537,0.24,0.0425,0.0338,0.0239,0.4939,0.7942,0.636364,1364
O=C(CCl)N=c1sccn1Cc1cccc2ccccc12,0.0032,0.0027,0.0019,0.0006,0.4694,0.0905,0.0395,0.017,0.1016,0.0098,0.0059,0.0058,0.5231,0.069,0.0303,0.0413,0.383,0.0363,0.0233,0.019,0.2963,0.0355,0.0254,0.0238,0.3729,0.056,0.0342,0.0295,0.1076,0.0216,0.0115,0.0089,0.0001,0.0006,0.0,0.0,0.0814,0.2933,0.0033,0.0263,0.0022,0.6603,0.1724,0.4972,0.3333,0.2508,0.0358,0.0191,0.0162,0.23,0.7418,0.769231,1362
COc1ccccc1-n1c(S)nc2cc([N+](=O)[O-])ccc21,0.0053,0.0046,0.0033,0.001,0.463,0.0905,0.0409,0.0188,0.0788,0.0067,0.0043,0.0052,0.5708,0.0783,0.0338,0.0507,0.1325,0.0055,0.0052,0.0102,0.1133,0.0059,0.0055,0.0136,0.1771,0.0133,0.0111,0.0193,0.1053,0.0212,0.0114,0.009,0.0,0.0002,0.0003,0.0002,0.0956,0.3528,0.7252,0.0237,0.5879,0.4241,0.494,0.5586,0.2647,0.1829,0.0251,0.0129,0.0142,0.3918,0.7664,0.705882,1361
N#CCn1c(CCl)nc2scc(-c3ccccc3)c2c1=O,0.0036,0.0029,0.0022,0.0007,0.4031,0.0451,0.0224,0.0175,0.113,0.0117,0.0069,0.0064,0.567,0.0883,0.0374,0.0486,0.1624,0.0074,0.0064,0.0111,0.34,0.0506,0.0349,0.0272,0.1811,0.0137,0.0112,0.0189,0.0904,0.0174,0.0097,0.0082,0.0,0.0,0.0,0.0,0.1462,0.2305,0.0362,0.0664,0.4297,0.5618,0.2671,0.4683,0.1616,0.2067,0.0263,0.0146,0.0154,0.2631,0.6777,0.835616,1360
N#CC(C(=O)CCl)=C(c1ccc(F)cc1)N1CCOCC1,0.0034,0.0028,0.002,0.0006,0.4255,0.0506,0.025,0.0201,0.195,0.0295,0.0156,0.0098,0.5839,0.1217,0.0498,0.0515,0.2883,0.0201,0.0146,0.0162,0.2877,0.0341,0.025,0.0248,0.2697,0.0286,0.0204,0.0252,0.1261,0.0269,0.0139,0.01,0.0,0.0,0.0,0.0,0.026,0.1151,0.0077,0.0,0.0001,0.1036,0.098,0.1225,0.2069,0.2422,0.0349,0.0185,0.0176,0.0755,0.6616,0.753425,1359
O=C(CCl)Nc1cc(C(F)(F)F)ccc1N1CCOCC1,0.0034,0.0028,0.002,0.0006,0.2394,0.013,0.0086,0.0142,0.0917,0.0084,0.0052,0.0056,0.5512,0.0835,0.0359,0.0465,0.1463,0.0062,0.0055,0.0101,0.3032,0.0376,0.0269,0.0249,0.2211,0.0194,0.0148,0.0215,0.0909,0.0175,0.0097,0.0082,0.0,0.0188,0.0006,0.0,0.1363,0.1035,0.0642,0.0014,0.0011,0.4464,0.084,0.3026,0.1541,0.183,0.023,0.0122,0.0146,0.1437,0.8008,0.666667,1355
CCOC(=O)C1=C(CCl)NC(=O)NC1c1ccc(Cl)cc1,0.0052,0.0044,0.0032,0.001,0.4891,0.1412,0.0589,0.0162,0.1911,0.028,0.0142,0.0084,0.5433,0.2982,0.116,0.0386,0.4651,0.0602,0.0349,0.0217,0.4807,0.1452,0.0872,0.0347,0.5376,0.1903,0.094,0.0394,0.1353,0.0294,0.0149,0.0102,0.0,0.0018,0.0008,0.0,0.0295,0.1517,0.0372,0.005,0.0151,0.1043,0.1,0.2504,0.0759,0.3164,0.0999,0.0471,0.0189,0.0855,0.8162,0.8,1352
CN(Cc1ccc(F)cc1)c1nc2sccn2c1[N+](=O)[O-],0.0056,0.005,0.0036,0.0011,0.421,0.1123,0.0501,0.0139,0.0401,0.0026,0.0019,0.0035,0.5042,0.0786,0.0336,0.0357,0.1175,0.0044,0.0042,0.0086,0.1317,0.0076,0.0067,0.0142,0.1453,0.0096,0.0084,0.0162,0.0482,0.0082,0.0053,0.006,0.0,0.003,0.0011,0.0,0.1094,0.2348,0.2722,0.7951,0.1211,0.163,0.3926,0.4028,0.1702,0.1571,0.0257,0.0128,0.011,0.2957,0.7563,0.770492,1351
COc1ccc(Oc2ccc([N+](=O)[O-])cc2C(=O)O)cc1,0.0042,0.0036,0.0026,0.0008,0.1704,0.0098,0.0077,0.0142,0.1025,0.0102,0.0062,0.0063,0.5889,0.0869,0.0405,0.0734,0.103,0.0039,0.0038,0.0088,0.1777,0.0133,0.0112,0.019,0.3169,0.0437,0.0308,0.0346,0.1148,0.0239,0.0126,0.0095,0.001,0.0013,0.0009,0.0012,0.0131,0.2085,0.098,0.0474,0.8266,0.2829,0.7381,0.3771,0.1641,0.1755,0.0218,0.0129,0.0186,0.3062,0.8585,0.659091,1350
O=C(O)c1cccnc1Sc1ccnc2cc(Cl)ccc12,0.0107,0.0099,0.0072,0.0024,0.4888,0.093,0.0418,0.0218,0.0895,0.0082,0.0051,0.0055,0.614,0.1045,0.0434,0.0596,0.1459,0.0062,0.0056,0.0102,0.2684,0.0293,0.0218,0.0232,0.3113,0.0385,0.0258,0.0274,0.1812,0.0444,0.0211,0.0126,0.0001,0.0295,0.0083,0.0002,0.0391,0.2742,0.8481,0.8444,0.9329,0.423,0.6829,0.6776,0.2245,0.2344,0.0404,0.02,0.0181,0.5496,0.788,0.771429,1348
O=C(O)C1CCCCN1C(=O)c1cc(F)c(F)c(O)c1F,0.013,0.012,0.0087,0.0031,0.3342,0.0347,0.0191,0.0159,0.0815,0.0071,0.0046,0.0053,0.5682,0.1281,0.0516,0.0458,0.0651,0.002,0.0022,0.0066,0.1382,0.0084,0.0074,0.0157,0.2143,0.0192,0.0149,0.022,0.0962,0.019,0.0104,0.0085,0.009,0.1202,0.0168,0.0004,0.2292,0.3304,0.6971,0.4988,0.7111,0.5335,0.4803,0.5293,0.2518,0.1689,0.039,0.0151,0.0137,0.4735,0.77,0.739726,1346
CC(=O)c1ccc(Oc2ccc(Cl)cc2Cl)c([N+](=O)[O-])c1,0.0075,0.0066,0.0048,0.0016,0.4737,0.1062,0.0477,0.02,0.112,0.0113,0.0066,0.0061,0.5993,0.1291,0.0517,0.0522,0.2581,0.0163,0.0123,0.0149,0.2146,0.0182,0.0144,0.0196,0.3573,0.0533,0.0334,0.0301,0.0983,0.0193,0.0105,0.0085,0.0,0.0043,0.0044,0.0005,0.499,0.56,0.8304,0.5985,0.9784,0.7291,0.8306,0.6966,0.3211,0.2356,0.0405,0.0207,0.017,0.6715,0.7962,0.55814,1345
COCC(C)N(Cc1ccc(C(F)(F)F)cc1)C(=O)CCl,0.0048,0.0041,0.003,0.0009,0.0953,0.0036,0.0034,0.0089,0.131,0.0147,0.0082,0.0066,0.467,0.0507,0.0239,0.0354,0.3652,0.0324,0.0212,0.0182,0.3649,0.0597,0.0401,0.0283,0.2721,0.0292,0.0205,0.0245,0.1172,0.024,0.0126,0.0092,0.0,0.0001,0.0,0.0,0.128,0.091,0.0979,0.5896,0.2242,0.4318,0.1787,0.5001,0.2499,0.2019,0.0243,0.0148,0.0147,0.2768,0.6818,0.826923,1344
Cc1sc2nc(Cn3cnc([N+](=O)[O-])c3)nc(Cl)c2c1C,0.0091,0.0084,0.0061,0.002,0.4573,0.1467,0.0627,0.0147,0.0649,0.0051,0.0034,0.0046,0.5596,0.1273,0.0504,0.0416,0.1884,0.0092,0.0075,0.0114,0.079,0.0034,0.0033,0.0106,0.113,0.0066,0.0063,0.0143,0.0614,0.0109,0.0067,0.0068,0.0,0.0027,0.001,0.0,0.0512,0.424,0.2671,0.0034,0.2096,0.64,0.5072,0.7463,0.4084,0.1703,0.0356,0.0164,0.0118,0.3619,0.6541,0.77193,1343
O=[N+]([O-])c1ccc(Cl)nc1Nc1cccc2ncccc12,0.0023,0.0018,0.0014,0.0004,0.4785,0.1213,0.0513,0.016,0.0741,0.0061,0.0039,0.0048,0.5755,0.0915,0.0373,0.045,0.2674,0.0167,0.0122,0.014,0.1145,0.0059,0.0054,0.0131,0.209,0.0169,0.0131,0.0198,0.0912,0.0176,0.0097,0.0082,0.0,0.0,0.0,0.0,0.4052,0.3354,0.7848,0.816,0.9814,0.6761,0.7771,0.5339,0.382,0.2014,0.0309,0.0149,0.0135,0.6325,0.7584,0.774648,1342
O=C(O)Cc1csc(NC(=O)CCc2ccc(F)cc2)n1,0.0015,0.0012,0.0009,0.0002,0.0356,0.0012,0.0016,0.0067,0.0347,0.0021,0.0016,0.0033,0.239,0.0078,0.0057,0.0205,0.0077,0.0001,0.0003,0.002,0.0402,0.0012,0.0014,0.0074,0.042,0.0017,0.0022,0.0089,0.0584,0.0103,0.0064,0.0066,0.0,0.0273,0.1492,0.0003,0.0386,0.0736,0.0318,0.0006,0.0021,0.062,0.0519,0.1686,0.1332,0.051,0.0059,0.0188,0.0062,0.0625,0.7579,0.816901,1341
CN(CCCC(=O)O)c1ccc([N+](=O)[O-])c2ncccc12,0.0085,0.0078,0.0057,0.0018,0.37,0.4516,0.2172,0.0083,0.079,0.0067,0.0044,0.0053,0.5072,0.373,0.1519,0.0353,0.4241,0.0483,0.0297,0.0212,0.2072,0.0173,0.0139,0.0198,0.3888,0.0651,0.0394,0.0324,0.1484,0.0338,0.0169,0.0111,0.0007,0.0309,0.008,0.0003,0.0217,0.2209,0.1303,0.7244,0.7577,0.3532,0.6313,0.5801,0.2295,0.2371,0.115,0.0541,0.0151,0.4055,0.8046,0.707692,1339
O=S(=O)(Nc1cccc2cccnc12)c1cccnc1Cl,0.0068,0.0063,0.0045,0.0014,0.4886,0.0778,0.0356,0.0231,0.0528,0.0037,0.0026,0.0041,0.5544,0.0558,0.0256,0.0505,0.2697,0.0174,0.0128,0.0148,0.2536,0.0254,0.0193,0.0222,0.2211,0.0195,0.015,0.0217,0.1178,0.0243,0.0127,0.0095,0.0001,0.0001,0.0001,0.0001,0.2857,0.4403,0.1987,0.9585,0.9909,0.5022,0.5481,0.66,0.2393,0.2183,0.0256,0.0142,0.0164,0.536,0.7454,0.708333,1338
COC(=O)c1ccccc1NC(=O)c1ccc([N+](=O)[O-])o1,0.0024,0.0019,0.0014,0.0004,0.4398,0.2246,0.0954,0.012,0.0784,0.0066,0.0042,0.005,0.5479,0.1082,0.0436,0.0399,0.4187,0.0451,0.0273,0.0193,0.1999,0.0163,0.013,0.0185,0.2884,0.0322,0.0218,0.0242,0.0592,0.0105,0.0064,0.0066,0.0,0.0002,0.0001,0.0,0.6322,0.55,0.6191,0.9545,0.9889,0.9048,0.8744,0.7946,0.2651,0.2261,0.0495,0.0237,0.014,0.7315,0.7893,0.661017,1336
COC(=O)c1sccc1NC(=O)Nc1ccc(F)cc1F,0.0028,0.0022,0.0016,0.0005,0.2366,0.0153,0.0102,0.0144,0.0362,0.0022,0.0017,0.0033,0.4568,0.0323,0.0165,0.0366,0.0376,0.001,0.0012,0.0047,0.0689,0.0027,0.0027,0.0099,0.1164,0.0068,0.0065,0.0146,0.045,0.0076,0.005,0.0058,0.9199,0.8668,0.6283,0.0111,0.2829,0.2194,0.6468,0.0103,0.7674,0.5232,0.4515,0.5481,0.2817,0.2133,0.1041,0.0748,0.0112,0.4146,0.6992,0.789474,1335
O=C(O)c1cc(Oc2ccc(Cl)c3ccccc23)ccn1,0.0052,0.0045,0.0033,0.001,0.4703,0.0701,0.0342,0.0266,0.0876,0.0079,0.005,0.0056,0.6452,0.1463,0.059,0.0689,0.1453,0.0063,0.0057,0.0105,0.2032,0.0165,0.0135,0.0204,0.2667,0.029,0.0213,0.0275,0.2164,0.0574,0.0263,0.0142,0.0,0.0007,0.0012,0.0002,0.2183,0.3676,0.6314,0.9778,0.9737,0.6792,0.9,0.7086,0.2567,0.2267,0.0376,0.0188,0.0194,0.6348,0.7684,0.76,1334
O=C(CCl)Nc1cc(F)ccc1NC(=O)c1ccccn1,0.0025,0.002,0.0015,0.0004,0.2365,0.0165,0.0107,0.0128,0.0656,0.0052,0.0034,0.0046,0.5314,0.1214,0.0492,0.0388,0.229,0.0129,0.01,0.0131,0.1963,0.0156,0.0125,0.0182,0.2642,0.0271,0.0191,0.0233,0.089,0.0172,0.0096,0.0081,0.0,0.0,0.0,0.0,0.068,0.1752,0.0126,0.0,0.0001,0.4674,0.2039,0.4029,0.241,0.1794,0.0242,0.0129,0.0133,0.1746,0.6932,0.764706,1332
O=C(O)c1cc(NS(=O)(=O)c2ccc(Cl)s2)c(F)cc1F,0.0119,0.0112,0.0081,0.0027,0.2926,0.025,0.017,0.0291,0.1696,0.0241,0.0131,0.0092,0.6407,0.2466,0.1023,0.0773,0.1256,0.0052,0.005,0.0102,0.2669,0.0302,0.0228,0.0245,0.3232,0.0461,0.0313,0.0328,0.1422,0.032,0.0162,0.011,0.0,0.4144,0.1964,0.0002,0.1046,0.327,0.5173,0.0904,0.135,0.4965,0.4944,0.4044,0.2936,0.2192,0.0928,0.0458,0.0219,0.3181,0.7611,0.764706,1331
O=C(Nc1cc([N+](=O)[O-])c(F)cc1F)c1ccc(F)cc1,0.0049,0.0042,0.0031,0.001,0.4077,0.0815,0.0394,0.0173,0.1092,0.0111,0.0066,0.0062,0.5568,0.0923,0.039,0.0466,0.1638,0.0076,0.0066,0.0113,0.1273,0.0073,0.0065,0.0144,0.1908,0.0155,0.0124,0.0198,0.0766,0.0143,0.0083,0.0075,0.0,0.0,0.0,0.0,0.0733,0.5922,0.4155,0.971,0.9689,0.6135,0.6778,0.6818,0.3171,0.1819,0.026,0.0136,0.0138,0.5901,0.7875,0.701754,1330
Cc1cccc2c1N(Cc1ccc(Cl)cc1Cl)C(=O)C2=O,0.0129,0.0121,0.0088,0.003,0.5264,0.0766,0.0346,0.0276,0.1556,0.0192,0.0104,0.0076,0.603,0.0704,0.0325,0.0709,0.2969,0.0216,0.0158,0.0175,0.139,0.0081,0.0072,0.0153,0.2881,0.0314,0.0218,0.0255,0.1467,0.0326,0.0163,0.0108,0.015,0.0248,0.0067,0.0012,0.2971,0.4086,0.3236,0.0069,0.0094,0.2914,0.5792,0.6539,0.2223,0.2426,0.033,0.0171,0.0199,0.3103,0.8111,0.784314,1328
O=C(O)c1cccc(C(=O)Nc2nc3c(s2)CCCC3)n1,0.0058,0.0051,0.0037,0.0012,0.4823,0.0753,0.0347,0.0228,0.0768,0.0064,0.0041,0.0051,0.5627,0.0694,0.0307,0.0507,0.1074,0.0039,0.0038,0.0085,0.083,0.0036,0.0035,0.0113,0.1567,0.0109,0.0096,0.0184,0.1329,0.0289,0.0148,0.0104,0.0055,0.1339,0.0591,0.0057,0.1995,0.3291,0.0325,0.2968,0.4332,0.5103,0.544,0.4042,0.5403,0.1792,0.0375,0.0182,0.0149,0.3655,0.7507,0.803571,1326
COc1cc(CNc2ccc([N+](=O)[O-])cc2F)ccc1O,0.002,0.0016,0.0011,0.0003,0.3938,0.0778,0.0374,0.0153,0.0669,0.0053,0.0035,0.0047,0.5601,0.1183,0.0479,0.0441,0.0705,0.0023,0.0025,0.007,0.1111,0.0057,0.0052,0.0131,0.2354,0.0221,0.0165,0.0223,0.0613,0.0109,0.0067,0.0068,0.0002,0.0014,0.0008,0.0002,0.0996,0.446,0.1367,0.1324,0.0298,0.6173,0.4065,0.6323,0.3658,0.1668,0.0273,0.0135,0.0126,0.3185,0.7683,0.615385,1325
CC(C)c1ncc(Cl)c(C(=O)NC2(C(=O)O)CCSC2)n1,0.0545,0.0597,0.0441,0.0171,0.3565,0.0337,0.0191,0.0216,0.1286,0.0145,0.0084,0.0071,0.5074,0.0447,0.023,0.0551,0.0548,0.0016,0.0018,0.0058,0.1377,0.0084,0.0075,0.0159,0.1061,0.0064,0.0064,0.0154,0.165,0.0394,0.0193,0.0121,0.0,0.0,0.0001,0.0,0.0052,0.1053,0.0283,0.0011,0.0,0.0736,0.0268,0.1196,0.1114,0.1678,0.0232,0.0144,0.0167,0.0524,0.7745,0.827586,1322
O=C(Nc1ccc2c(c1)CCCN2)c1ccc([N+](=O)[O-])s1,0.0019,0.0014,0.0011,0.0003,0.3996,0.0918,0.0432,0.015,0.0635,0.0049,0.0033,0.0045,0.4973,0.0573,0.0263,0.0389,0.1865,0.0091,0.0075,0.0115,0.0712,0.0029,0.0029,0.0102,0.2662,0.0285,0.0202,0.0245,0.0627,0.0112,0.0068,0.0069,0.0001,0.004,0.0007,0.0,0.1485,0.5936,0.4657,0.2693,0.1862,0.8038,0.5309,0.6706,0.4819,0.1721,0.0235,0.0124,0.0124,0.4612,0.7772,0.661765,1321
CCOc1ccccc1Oc1ccc([N+](=O)[O-])cc1C#N,0.0029,0.0025,0.0018,0.0005,0.4335,0.0821,0.0376,0.0163,0.0603,0.0045,0.0031,0.0044,0.5169,0.0645,0.0286,0.0402,0.2145,0.0117,0.0093,0.013,0.1111,0.0057,0.0053,0.013,0.2293,0.021,0.0159,0.0223,0.0734,0.0135,0.0079,0.0074,0.0008,0.0001,0.0,0.0,0.1322,0.2547,0.3403,0.4447,0.6879,0.4005,0.7588,0.5229,0.1685,0.1825,0.0228,0.0122,0.013,0.4123,0.7957,0.714286,1317
Clc1cc2c(c3ncccc13)OCN(CC1CCCO1)C2,0.0038,0.0033,0.0024,0.0007,0.487,0.1445,0.0618,0.0176,0.0384,0.0024,0.0018,0.0035,0.5258,0.0557,0.0253,0.0427,0.1657,0.0075,0.0065,0.011,0.1711,0.0116,0.0097,0.0171,0.2523,0.0247,0.0183,0.0246,0.1072,0.0215,0.0115,0.0089,0.0,0.0,0.0,0.0,0.327,0.2942,0.1275,0.3867,0.7756,0.2092,0.2749,0.4231,0.1452,0.1946,0.0301,0.0153,0.014,0.3293,0.7361,0.8125,1308
COc1ccc(C(C)Nc2cc(Cl)nc(N)n2)cc1OC,0.0057,0.005,0.0036,0.0011,0.5207,0.2352,0.0949,0.0158,0.1119,0.0111,0.0065,0.0061,0.5348,0.3383,0.1329,0.0371,0.0772,0.0025,0.0027,0.0072,0.3021,0.0346,0.0249,0.0244,0.3272,0.0386,0.0256,0.0273,0.1519,0.0338,0.0167,0.011,0.0001,0.0396,0.0095,0.0002,0.0224,0.1463,0.0985,0.0002,0.0101,0.0745,0.135,0.4239,0.17,0.2257,0.0821,0.0353,0.0145,0.1201,0.7671,0.762712,1307
O=C(Nc1ccc([N+](=O)[O-])cc1)NC1CCCCC1CO,0.0031,0.0026,0.0019,0.0006,0.0196,0.0006,0.001,0.0046,0.036,0.0022,0.0017,0.0033,0.0955,0.0018,0.0019,0.0109,0.012,0.0002,0.0004,0.0026,0.0519,0.0018,0.0019,0.0086,0.0318,0.0012,0.0017,0.0077,0.0464,0.0079,0.0051,0.0059,0.0,0.0187,0.1052,0.0252,0.0346,0.1593,0.2911,0.2628,0.1777,0.1928,0.1457,0.3864,0.1606,0.0329,0.0041,0.0134,0.0077,0.2012,0.7083,0.689655,1306
N#Cc1cc(N2CCC(O)(C(F)(F)F)C2)ccc1[N+](=O)[O-],0.0068,0.0059,0.0043,0.0014,0.3616,0.4143,0.197,0.0083,0.0778,0.0066,0.0043,0.0051,0.5187,0.2427,0.0946,0.0352,0.2299,0.013,0.0101,0.0132,0.172,0.0125,0.0104,0.0171,0.3436,0.0499,0.0314,0.0284,0.0804,0.0152,0.0087,0.0078,0.0006,0.0039,0.001,0.0001,0.0817,0.3898,0.4289,0.6069,0.2912,0.4433,0.488,0.5304,0.17,0.199,0.0849,0.0402,0.013,0.3811,0.7484,0.763636,1305
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,0.0033,0.0027,0.0019,0.0006,0.3883,0.3756,0.1724,0.0093,0.1175,0.0125,0.0072,0.0064,0.548,0.2482,0.0961,0.0394,0.4516,0.0566,0.033,0.021,0.3433,0.0552,0.0377,0.0272,0.4563,0.1079,0.0583,0.0347,0.1037,0.0209,0.0113,0.0089,0.0,0.0025,0.0005,0.0,0.7141,0.572,0.9308,0.9987,0.9986,0.7759,0.9533,0.7624,0.5034,0.268,0.098,0.0465,0.0164,0.801,0.8067,0.746479,1304
